Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ANTH 1-2 - Introduction to Biological Anthropology	Anthropology	1	2	Open	17/28	Isaura Cruz	4	W | 2:15 PM - 5:15 PM	Rm 155 Alumni Science Hall	Core Explorations :: Natural Science  Pathways :: Values in Science and Technology	Laboratory	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 2-1 - Introduction to Archaeology	Anthropology	2	1	Closed	28/28	Nathan Anderson	4	T Th | 8:30 AM - 10:10 AM	Rm 201 O'Connor Hall	Core Explorations :: Natural Science  Core Explorations :: Social Science  Pathways :: Values in Science and Technology	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 2-2 - Introduction to Archaeology	Anthropology	2	2	Closed	28/28	Nathan Anderson	4	T | 2:00 PM - 5:00 PM	Rm 155 Alumni Science Hall	Core Explorations :: Natural Science  Core Explorations :: Social Science  Pathways :: Values in Science and Technology	Laboratory	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 2-3 - Introduction to Archaeology	Anthropology	2	3	Open	16/28	Maia Dedrick	4	M W F | 8:00 AM - 9:05 AM	Rm 107 O'Connor Hall	Core Explorations :: Natural Science  Core Explorations :: Social Science  Pathways :: Values in Science and Technology	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 2-4 - Introduction to Archaeology	Anthropology	2	4	Open	16/28	Maia Dedrick	4	M | 2:15 PM - 5:15 PM	Rm 155 Alumni Science Hall	Core Explorations :: Natural Science  Core Explorations :: Social Science  Pathways :: Values in Science and Technology	Laboratory	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 3-1 - Introduction to Cultural Anthropology (-)	Anthropology	3	1	Closed	29/0	Samantha Grace | Sam Grace	4	T Th | 3:50 PM - 5:30 PM	Rm 107 O'Connor Hall	Core Explorations :: Social Science  Core Integrations :: Experiential Learning for Social Justice	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 4-1 - Vanished Peoples and Lost Civilizations	Anthropology	4	1	Closed	37/0	Nathan Anderson	4	T Th | 10:20 AM - 12:00 PM	Rm 205 O'Connor Hall	Core Explorations :: Science, Technology and Society  Pathways :: American Studies  Pathways :: Values in Science and Technology	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 11A-1 - Cultures and Ideas I (Humankind Unplugged)	Anthropology	11A	1	Closed	25/0	James McKenna	4	T Th | 10:20 AM - 12:00 PM	Rm 206 O'Connor Hall	Core Foundations :: Cultures and Ideas 1	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 11A-2 - Cultures and Ideas I (Peace and Violence)	Anthropology	11A	2	Closed	25/25	Julia Alejandra Morales Fontanilla	4	M W F | 1:00 PM - 2:05 PM	Rm 310 Kenna Hall	Core Foundations :: Cultures and Ideas 1	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 11H-1 - Cultures and Ideas I - Honors (Human Rights and Humanitarianism)	Anthropology	11H	1	Closed	18/0	Mythri Jegathesan	4	T Th | 10:20 AM - 12:00 PM	Rm 109 O'Connor Hall	Core Foundations :: Cultures and Ideas 1	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 140-1 - Food, Culture, and the Environment (-)	Anthropology	140	1	Closed	31/30	Maia Dedrick	5	M W F | 11:45 AM - 12:50 PM	RM 2301 SCDI	Core Explorations :: Science, Technology and Society  Pathways :: Feeding the World  Pathways :: Global Health  Pathways :: Sustainability  Pathways :: Values in Science and Technology	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	ANTH 140-/ENVS 136-1
ANTH 172-1 - Anthropology of Aging	Anthropology	172	1	Closed	30/30	Samantha Grace | Sam Grace	5	T Th | 12:10 PM - 1:50 PM	Rm 204 O'Connor Hall	Core Explorations :: Cultures and Ideas 3	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 194-1 - Peer Educators	Anthropology	194	1	Closed	1/1	Mythri Jegathesan	1				Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 198-1 - Anthropology Proseminar (-)	Anthropology	198	1	Open	4/16	Mythri Jegathesan	5	T | 2:00 PM - 5:20 PM	Rm 333 O'Connor Hall		Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARAB 1-1 - Arabic Language and Culture I (-)	Arabic	1	1	Open	15/22	Mohammed Kadalah	4	M W F | 11:45 AM - 12:50 PM	Rm 163 Graham Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARAB 137-1 - Arabic Culture and Society (-)	Arabic	137	1	Open	14/22	Mohammed Kadalah	5	M W F | 2:15 PM - 3:20 PM	Commons Mclaughlin-Walsh Residence Hall	Core Explorations :: Cultures and Ideas 3  Pathways :: Islamic Studies  Pathways :: Politics and Religion  Pathways :: Race, Place and Social Inequalities	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARAB 194-1 - Peer Educator in Arabic	Arabic	194	1	Closed	2/2	Mohammed Kadalah	1				Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTH 11A-1 - Cultures and Ideas I (Arts of the Americas)	Art History	11A	1	Closed	25/25	Katie Ligmond	4	M W F | 9:15 AM - 10:20 AM	Rm 210 Edward M. Dowd Art & Art History	Core Foundations :: Cultures and Ideas 1	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTH 11A-2 - Cultures and Ideas I (Venice: Crossroads World)	Art History	11A	2	Closed	25/25	Blake DeMaria	4	M W F | 10:30 AM - 11:35 AM	Rm 208 Edward M. Dowd Art & Art History	Core Foundations :: Cultures and Ideas 1	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTH 11A-3 - Cultures and Ideas I (Art and Identity)	Art History	11A	3	Open	23/25	Andrea Pappas	4	T Th | 10:20 AM - 12:00 PM	Rm 208 Edward M. Dowd Art & Art History	Core Foundations :: Cultures and Ideas 1	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ARTH 11A-4 - Cultures and Ideas I (Art of the Indian Subcontinent)	Art History	11A	4	Open	24/25	Shriya Sridharan	4	T Th | 8:30 AM - 10:10 AM	Rm 210 Edward M. Dowd Art & Art History	Core Foundations :: Cultures and Ideas 1	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
